ID,LCLAS_NM,MLSFC_NM,POI_ID,POI_NM,BHF_NM,ASSTN_NM,CL_CD,CL_NM,PNU,CTPRVN_NM,SIGNGU_NM,LEGALDONG_NM,LI_NM,LNBR_NO,LEGALDONG_CD,ADSTRD_CD,RDNMADR_CD,RDNMADR_NM,BULD_NO,LC_LO,LC_LA,GID_CD,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KCDMTPO22N000000323,장소,문화시설,17449261,MDVD영화관,,,92005,비디오/DVD감상실,4825011800104630005,경상남도,김해시,어방동,,463-5,4825011800,4825058000,482503335051,인제로,190,128.9041763,35.24555573,마라277953,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000324,장소,문화시설,17460367,CGV,판교점,,100208,CGV,4113511000105410000,경기도,성남시 분당구,백현동,,541,4113511000,4113565700,411354340519,판교역로146번길,20,127.1121267,37.3927861,다사656327,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000325,장소,문화시설,17462292,쿨DVD방,,,92005,비디오/DVD감상실,1135010500105930002,서울특별시,노원구,상계동,,593-2,1135010500,1135064000,113504130298,상계로3길,16,127.0624995,37.65698531,다사614620,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000326,장소,문화시설,17466452,씨넥스DVD영화관,,,92005,비디오/DVD감상실,1129012500101020064,서울특별시,성북구,안암동5가,,102-64,1129012500,1129060000,112904856603,고려대로24길,14,127.0292071,37.58566099,다사584541,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000327,장소,문화시설,17467613,메가박스,안산중앙점,,100212,메가박스,4127310100105350001,경기도,안산시 단원구,고잔동,,535-1,4127310100,4127353200,412734373016,고잔2길,41,126.8356564,37.31794894,다사411245,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000328,장소,문화시설,17471172,실버영화관,,,100202,일반극장/영화관,3111010500102590002,울산광역시,중구,옥교동,,259-2,3111010500,3111058500,311104307182,문화의거리,14,129.3218342,35.55602709,마마651304,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000329,장소,문화시설,17473536,창동예술소극장,,,100202,일반극장/영화관,4812515000101970000,경상남도,창원시 마산합포구,창동,,197,4812515000,4812563000,481254787739,창동거리길,50,128.574864,35.2053399,라라978905,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000330,장소,문화시설,17474192,롯데시네마,광교아울렛점,,100209,롯데시네마,4111710300113380000,경기도,수원시 영통구,이의동,,1338,4111710300,4111760000,411173177029,도청로,10,127.0561562,37.28632763,다사606209,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000331,장소,문화시설,17498370,팝스DVD영화관,서울역점,,92005,비디오/DVD감상실,1117010700100430050,서울특별시,용산구,동자동,,43-50,1117010700,1117053000,111702005005,한강대로,401-2,126.9722687,37.55418527,다사533506,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000332,장소,문화시설,17503241,장흥자동차극장,,,100207,자동차전용극장,4163034025100480000,경기도,양주시,장흥면,일영리,48,4163034025,4163034000,416303212007,권율로,101-14,126.9487334,37.72484963,다사514696,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000333,장소,문화시설,17509326,메가박스,검단점,,100212,메가박스,2826011400110980005,인천광역시,서구,당하동,,1098-5,2826011400,2826071000,282603156046,서곶로,788,126.6752977,37.58814003,다사271546,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000334,장소,문화시설,17509619,메가박스,문경점,,100212,메가박스,4728011000108590002,경상북도,문경시,모전동,,859-2,4728011000,4728061000,472803018044,모전로,65,128.1903668,36.58735623,라바617435,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000335,장소,문화시설,17511959,CGV,보령점,,100208,CGV,4418010100103240004,충청남도,보령시,대천동,,324-4,4418010100,4418052500,441803252047,대흥로,51,126.5928447,36.34956359,다바186172,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000336,장소,문화시설,17516863,롯데시네마,가양점,,100209,롯데시네마,1150010200100730001,서울특별시,강서구,등촌동,,73-1,1150010200,1150053500,115003115008,양천로,476,126.8533105,37.5616,다사428515,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000337,장소,문화시설,17516922,CGV,해운대점,,100208,CGV,2635010500105390010,부산광역시,해운대구,우동,,539-10,2635010500,2635051000,263502006010,해운대로,620,129.1586654,35.16309207,마라510865,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000338,장소,문화시설,17519188,뮤즈DVD방,,,92005,비디오/DVD감상실,4113110100125150000,경기도,성남시 수정구,신흥동,,2515,4113110100,4113153000,411312179002,산성대로,269,127.1469494,37.44117788,다사687380,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000339,장소,문화시설,17521531,디지털영화관,,,92005,비디오/DVD감상실,4873038022105520001,경상남도,함안군,산인면,신산리,552-1,4873038022,4873038000,487302330001,함마대로,2297,128.4753273,35.26748819,라라887973,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000340,장소,문화시설,17521716,만화공간,,,92005,비디오/DVD감상실,4111710200100180001,경기도,수원시 영통구,원천동,,18-1,4111710200,4111755000,411173176009,아주로,46,127.044062,37.27879551,다사595200,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000341,장소,문화시설,17538398,경주블루DVD,,,92005,비디오/DVD감상실,4713010800106830005,경상북도,경주시,성건동,,683-5,4713010800,4713055000,471304715181,금성로407번길,2,129.2066341,35.85411423,마마541632,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000342,장소,문화시설,17538777,스카이디지털영화관,,,92005,비디오/DVD감상실,4833010300104040001,경상남도,양산시,중부동,,404-1,4833010300,4833051000,483303338036,삼일로,82,129.0363047,35.34376658,마마396064,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000343,장소,문화시설,17542394,메가박스,김천점,,100212,메가박스,4715010500102450082,경상북도,김천시,평화동,,245-82,4715010500,4715053600,471503306005,김천로,74,128.1107647,36.12532927,라마549922,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000344,장소,문화시설,17545559,롯데시네마,수락산점,,100209,롯데시네마,1135010500111320035,서울특별시,노원구,상계동,,1132-35,1135010500,1135063000,113503000001,동일로,1660,127.0556866,37.67661272,다사608642,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000345,장소,문화시설,17545583,메가박스,인천논현점,,100212,메가박스,2820011000107470001,인천광역시,남동구,논현동,,747-1,2820011000,2820071000,282003153012,논고개로,61,126.7274528,37.39749404,다사316334,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000346,장소,문화시설,17572922,CGV,세종점,,100208,CGV,3611011100106730000,세종특별자치시,세종시,종촌동,,673,3611011100,3611054000,361103258080,도움1로,108,127.2476495,36.50251446,다바774339,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000347,장소,문화시설,17573795,평창시네마,,,100202,일반극장/영화관,4276035027103740002,강원도,평창군,용평면,장평리,374-2,4276035027,4276035000,427603000145,경강로,1689,128.4163502,37.58883931,라사809547,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000348,장소,문화시설,17576756,예술공간유비누리앱질전용관,,,100202,일반극장/영화관,1111016800100010048,서울특별시,종로구,동숭동,,1-48,1111016800,1111064000,111104100043,대학로8가길,52,127.0026407,37.58301286,다사560538,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000349,장소,문화시설,17578308,괜찮은홀중계홀,,,100202,일반극장/영화관,1135010600105090000,서울특별시,노원구,중계동,,509,1135010600,1135062500,113504130198,동일로204가길,46,127.0680023,37.64131791,다사618602,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000350,장소,문화시설,17578344,시네마타운극장,,,100207,자동차전용극장,4825035021100300006,경상남도,김해시,생림면,나전리,30-6,4825035021,4825035000,482503335051,인제로,545-59,128.8875371,35.27534792,마라261986,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000351,장소,문화시설,17580081,장유씨네맥스,,,92005,비디오/DVD감상실,4825012900100640001,경상남도,김해시,대청동,,64-1,4825012900,4825062000,482503335023,번화1로,78,128.7999138,35.19427651,마라183895,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000352,장소,문화시설,17588454,롯데시네마,상인점,,100209,롯데시네마,2729011500102410000,대구광역시,달서구,상인동,,241,2729011500,2729062500,272903147029,월곡로,247,128.5392746,35.81644072,라마938582,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000353,장소,문화시설,17595004,동방영상,,,92005,비디오/DVD감상실,4146136021104600006,경기도,용인시 처인구,양지면,양지리,460-6,4146136021,4146136000,414613203174,향교로,3,127.2860542,37.23643827,다사810153,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000354,장소,문화시설,17596452,영남알프스복합웰컴센터영남알프스시네마,,,100202,일반극장/영화관,3171038034105170000,울산광역시,울주군,상북면,등억알프스리,517,3171038034,3171038000,317104853469,알프스온천5길,103-8,129.0676131,35.55620993,마마420300,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000355,장소,문화시설,17599399,기벌포영화관,,,100202,일반극장/영화관,4477025024101370001,충청남도,서천군,장항읍,신창리,137-1,4477025024,4477025000,447704580711,장항로145번길,30,126.6941177,36.01306101,다마273798,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000356,장소,문화시설,17601626,메가박스,진천점,,100212,메가박스,4375025026106520000,충청북도,진천군,진천읍,벽암리,652,4375025026,4375025000,437504535372,중앙북1길,3,127.4383614,36.85961803,다바945734,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000357,장소,문화시설,17601969,정남진시네마,,,100202,일반극장/영화관,4680025037103180002,전라남도,장흥군,장흥읍,건산리,318-2,4680025037,4680025000,468003017031,흥성로,43,126.9080716,34.67567559,다라457314,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000358,장소,문화시설,17615230,CGV,전주고사점,,100208,CGV,4511111700103550001,전라북도,전주시 완산구,고사동,,355-1,4511111700,4511151000,451114598334,전주객사3길,72,127.1420611,35.8203354,다마676582,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000359,장소,문화시설,17617207,상상극장,,,100202,일반극장/영화관,1111017300101090004,서울특별시,종로구,명륜3가,,109-4,1111017300,1111065000,111104100173,성균관로3길,20-4,126.9970829,37.58335219,다사555538,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000360,장소,문화시설,17618693,사랑소극장,,,100202,일반극장/영화관,1111017100100080025,서울특별시,종로구,명륜2가,,8-25,1111017100,1111065000,111104100415,창경궁로33길,4,126.9993167,37.5839655,다사557539,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000361,장소,문화시설,17620030,소담소극장,,,100202,일반극장/영화관,1111016800100010047,서울특별시,종로구,동숭동,,1-47,1111016800,1111064000,111104100043,대학로8가길,48,127.0024197,37.58294703,다사560538,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000362,장소,문화시설,17632857,청석에듀씨어터,,,100202,일반극장/영화관,4161010200100150008,경기도,광주시,쌍령동,,15-8,4161010200,4161054000,416103211039,청석로,288-9,127.2672404,37.41227798,다사794348,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000363,장소,문화시설,17644622,열린아트홀,,,100202,일반극장/영화관,2626010800104730008,부산광역시,동래구,온천동,,473-8,2626010800,2626055000,262603130032,온천장로,7,129.0787464,35.21299318,마라436919,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000364,장소,문화시설,17663348,메가박스,목포하당점,,100212,메가박스,4611015800108600001,전라남도,목포시,상동,,860-1,4611015800,4611075700,461103281056,옥암로,95,126.4262064,34.80742177,다라017463,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
KCDMTPO22N000000365,장소,문화시설,17666250,무비박스DVD방,,,92005,비디오/DVD감상실,1174010900104530007,서울특별시,강동구,천호동,,453-7,1174010900,1174062000,117404172369,천호대로159길,25,127.1277904,37.53871718,다사671488,20220809,KT,KC_497_DMSTC_MCST_THEART_2022,20220809
